fips,county,year,netmigration_1864,pop_1864,rate_1864,netmigration_total,pop_total,rate_total
021,Conejos County,2006,-80,8264,-0.97,-82,8470,-0.97
023,Costilla County,2006,4,3698,0.08,3,3698,0.08
025,Crowley County,2006,278,5515,5.04,288,5713,5.04
027,Custer County,2006,-6,2411,-0.25,-10,4017,-0.25
029,Delta County,2006,163,19601,0.83,247,29702,0.83
031,Denver County,2006,-2562,562862,-0.45,-2537,562862,-0.45
033,Dolores County,2006,60,1194,5.03,100,1990,5.03
035,Douglas County,2006,6850,177807,3.85,9933,257833,3.85
037,Eagle County,2006,218,48214,0.38,183,48214,0.38
039,Elbert County,2006,51,7272,0.7,158,22527,0.7
041,El Paso County,2006,5456,397963,1.37,7986,582502,1.37
043,Fremont County,2006,-18,2803,0.64,300,46703,0.64
045,Garfield County,2006,1129,46872,2.41,1231,51106,2.41
047,Gilpin County,2006,17,4953,0.32,16,4953,0.32
049,Grand County,2006,142,12704,1.12,158,14135,1.12
051,Gunnison County,2006,104,14650,0.48,70,14650,0.48
053,Hinsdale County,2006,25,830,1.81,15,830,1.81
055,Huerfano County,2006,-51,7750,-0.5,-39,7750,-0.5
057,Jackson County,2006,-40,1110,-3.6,-52,1443,-3.6
059,Jefferson County,2006,-1644,524579,-0.31,-1614,524579,-0.31
061,Kiowa County,2006,-20,1514,-1.19,-18,1514,-1.19
063,Kit Carson County,2006,-6,822,-0.73,-58,7946,-0.73
065,Lake County,2006,-101,4828,-2.09,-151,7217,-2.09
067,La Plata County,2006,322,35999,0.89,433,48408,0.89
069,Larimer County,2006,2180,192473,1.13,3183,281027,1.13
071,Las Animas County,2006,-54,15552,-0.23,-36,15552,-0.23
073,Lincoln County,2006,-145,5440,-2.67,-151,5665,-2.67
075,Logan County,2006,126,18958,0.66,148,22267,0.66
077,Mesa County,2006,2449,92100,2.66,3540,133128,2.66
079,Mineral County,2006,-3,216,-1.39,-11,789,-1.39
081,Moffat County,2006,31,13102,0.18,24,13102,0.18
083,Montezuma County,2006,141,9772,1.44,361,25017,1.44
085,Montrose County,2006,465,21349,2.18,827,37968,2.18
087,Morgan County,2006,-143,27983,-0.47,-132,27983,-0.47
089,Otero County,2006,-170,17542,-0.97,-186,19193,-0.97
091,Ouray County,2006,34,3431,0.99,41,4137,0.99
093,Park County,2006,-34,16128,-0.18,-29,16128,-0.18
095,Phillips County,2006,-94,4504,-1.13,-51,4504,-1.13
097,Pitkin County,2006,-180,16087,-1.06,-171,16087,-1.06
099,Prowers County,2006,-318,10770,-2.95,-390,13208,-2.95
101,Pueblo County,2006,888,90444,0.98,1493,152064,0.98
103,Rio Blanco County,2006,63,3141,2.01,120,5981,2.01
105,Rio Grande County,2006,-309,11683,-2.64,-329,12439,-2.64
107,Routt County,2006,187,14883,1.26,275,21886,1.26
109,Saguache County,2006,-77,4621,-1.67,-104,6241,-1.67
111,San Juan County,2006,17,572,2.98,20,672,2.98
113,San Miguel County,2006,-234,7059,-0.99,-70,7059,-0.99
115,Sedgwick County,2006,-36,1811,-1.99,-50,2515,-1.99
117,Summit County,2006,-141,26839,-0.38,-101,26839,-0.38
119,Teller County,2006,130,14815,0.88,200,22791,0.88
121,Washington County,2006,-2,4981,-0.04,-2,4981,-0.04
123,Weld County,2006,3691,167091,2.21,5109,231283,2.21
125,Yuma County,2006,-44,9917,-0.16,-16,9917,-0.16
000,Colorado,2007,27191,3745976,0.73,35000,4821784,0.73
001,Adams County,2007,2016,303140,0.67,2766,415915,0.67
003,Alamosa County,2007,-136,10097,-1.35,-206,15293,-1.35
005,Arapahoe County,2007,3038,351652,0.86,4716,545882,0.86
007,Archuleta County,2007,168,8547,1.97,238,12108,1.97
009,Baca County,2007,-64,3704,-1.73,-69,3993,-1.73
011,Bent County,2007,-374,5773,-5.46,-315,5773,-5.46
013,Boulder County,2007,274,110657,0.25,715,288757,0.25
014,Broomfield County,2007,1011,31997,3.16,1685,53328,3.16
015,Chaffee County,2007,197,12349,1.6,275,17238,1.6
017,Cheyenne County,2007,-72,1741,-4.14,-79,1910,-4.14
019,Clear Creek County,2007,15,4828,0.31,29,9333,0.31
021,Conejos County,2007,-88,8246,-1.07,-90,8433,-1.07
023,Costilla County,2007,-19,3676,-0.52,-19,3676,-0.52
025,Crowley County,2007,204,5712,3.57,211,5907,3.57
027,Custer County,2007,80,2849,2.81,116,4130,2.81
029,Delta County,2007,96,19781,0.49,145,29877,0.49
031,Denver County,2007,1642,570437,0.28,1625,570437,0.28
033,Dolores County,2007,3,1501,0.2,4,2001,0.2
035,Douglas County,2007,5040,185216,2.72,7309,268599,2.72
037,Eagle County,2007,336,49284,0.57,282,49284,0.57
039,Elbert County,2007,-50,7069,-0.71,-159,22478,-0.71
041,El Paso County,2007,481,402844,0.12,703,588772,0.12
043,Fremont County,2007,-2,2074,0.1,45,46654,0.1
045,Garfield County,2007,815,48292,1.69,889,52676,1.69
047,Gilpin County,2007,-29,4964,-0.56,-28,4964,-0.56
049,Grand County,2007,75,12957,0.58,83,14339,0.58
051,Gunnison County,2007,288,14957,1.3,194,14957,1.3
053,Hinsdale County,2007,12,845,0.83,7,845,0.83
055,Huerfano County,2007,-75,7658,-0.76,-58,7658,-0.76
057,Jackson County,2007,-17,1099,-1.55,-22,1422,-1.55
059,Jefferson County,2007,-114,527120,-0.02,-112,527120,-0.02
061,Kiowa County,2007,-45,1471,-2.79,-41,1471,-2.79
063,Kit Carson County,2007,-12,765,-1.57,-123,7835,-1.57
065,Lake County,2007,-8,4848,-0.17,-12,7271,-0.17
067,La Plata County,2007,313,36539,0.86,421,49146,0.86
069,Larimer County,2007,2563,196406,1.3,3742,286754,1.3
071,Las Animas County,2007,-78,15525,-0.33,-52,15525,-0.33
073,Lincoln County,2007,-95,5346,-1.78,-99,5571,-1.78
075,Logan County,2007,62,19292,0.32,72,22403,0.32
077,Mesa County,2007,2406,95044,2.53,3478,137390,2.53
079,Mineral County,2007,5,287,1.74,14,803,1.74
081,Moffat County,2007,77,13270,0.46,61,13270,0.46
083,Montezuma County,2007,19,9966,0.19,48,25177,0.19
085,Montrose County,2007,575,21995,2.61,1023,39131,2.61
087,Morgan County,2007,-345,27848,-1.14,-317,27848,-1.14
089,Otero County,2007,-271,17397,-1.56,-295,18937,-1.56
091,Ouray County,2007,103,3494,2.95,126,4274,2.95
093,Park County,2007,156,16336,0.79,129,16336,0.79
095,Phillips County,2007,-101,4484,-1.23,-55,4484,-1.23
097,Pitkin County,2007,25,16236,0.14,23,16236,0.14
099,Prowers County,2007,-402,10394,-3.87,-494,12772,-3.87
101,Pueblo County,2007,1226,92060,1.33,2061,154759,1.33
